modelo,anoModelo,mesReferencia,anoReferencia,valor
Spider 2.0/3.0,1997,4,2001,46027.0
164 3.0 V6,1996,3,2008,15314.0
155 Super,1997,7,2004,19745.0
156 TS/Sport/Elegant 2.0 16V,2002,10,2005,61672.0
145 Elegant 1.7/1.8 16V,1999,1,2019,13212.0
145 QV,1998,9,2009,18356.0
156 Sport Wagon 2.0 16V,2002,8,2005,66268.0
145 Elegant 1.7/1.8 16V,1999,12,2006,19568.0
156 Sport Wagon 2.0 16V,2002,1,2011,31939.0
156 Sport Wagon 2.0 16V,2002,9,2019,25920.0
155,1997,11,2017,14154.0
164 Super V6 24V,1996,2,2022,20478.0
156 Sport Wagon 2.0 16V,2002,10,2018,26919.0
